Individual,Individual URI,Label,Description
,http://purl.org/eiffo/ecv,ECV Taxonomy translated from the GCOS ECV website,"The EIFFEL ontology intends to help while searching for EO services and EO datasets or collections. In doing that, it makes use of the ECV taxonomy, which was created by GCOS, but not as a formal file (format)
Though it could have been integrated directly in the EIFFEL ontology, it was desgined in a modular way, so that it can be extended and reused independently."
ecv:AnthroposphereDomain,http://purl.org/eiffo/ecv#AnthroposphereDomain,Anthroposphere,
ecv:AtmosphereDomain,http://purl.org/eiffo/ecv#AtmosphereDomain,Atmosphere,
ecv:AtmosphericCompositionDomain,http://purl.org/eiffo/ecv#AtmosphericCompositionDomain,Atmospheric Composition,
ecv:BiogeochemicalDomain,http://purl.org/eiffo/ecv#BiogeochemicalDomain,Biogeochemical,
ecv:BiologicalEcosystemsDomain,http://purl.org/eiffo/ecv#BiologicalEcosystemsDomain,Biological/Ecosystems,
ecv:BiosphereDomain,http://purl.org/eiffo/ecv#BiosphereDomain,Biosphere,
ecv:CryosphereDomain,http://purl.org/eiffo/ecv#CryosphereDomain,Cryosphere,
ecv:Domain,http://purl.org/eiffo/ecv#Domain,Domain,Represents the different domains as defined by GCOS for ECVs
ecv:ECV,http://purl.org/eiffo/ecv#ECV,EssentialClimateVariable,"As for WMO (World Meteorological Organization), an ECV is a physical, chemical or biological variable or a group of linked variables that critically contributes to the characterization of Earth’ s climate.
ECV datasets provide the empirical evidence needed to understand and predict the evolution of climate, to guide mitigation and adaptation measures, to assess risks and enable attribution of climate events to underlying causes, and to underpin climate services.
ECVs are observed according to the GCOS Climate Monitoring Principles.
More information can be found at https://public.wmo.int/en/programmes/global-climate-observing-system/essential-climate-variables"
ecv:ECVSteward,http://purl.org/eiffo/ecv#ECVSteward,ECV Steward,
ecv:HydrosphereDomain,http://purl.org/eiffo/ecv#HydrosphereDomain,Hydrosphere,
ecv:LandDomain,http://purl.org/eiffo/ecv#LandDomain,Land,
ecv:OceanDomain,http://purl.org/eiffo/ecv#OceanDomain,Ocean,
ecv:PhysicalDomain,http://purl.org/eiffo/ecv#PhysicalDomain,Physical,
ecv:ScientificArea,http://purl.org/eiffo/ecv#ScientificArea,Scientific Area,
ecv:SurfaceDomain,http://purl.org/eiffo/ecv#SurfaceDomain,Surface,
ecv:UpperAirDomain,http://purl.org/eiffo/ecv#UpperAirDomain,Upper-Air,
ecv:AboveGroundBiomassECV1,http://purl.org/eiffo/ecv#AboveGroundBiomassECV1,Above-ground Biomass,
ecv:AerosolECV1,http://purl.org/eiffo/ecv#AerosolECV1,Aerosol Properties,
ecv:AlbedoECV1,http://purl.org/eiffo/ecv#AlbedoECV1,Albedo,
ecv:AnthropogenicGHGEmissionsECV1,http://purl.org/eiffo/ecv#AnthropogenicGHGEmissionsECV1,Anthropogenic Greenhouse Gas Emissions,
ecv:AnthropogenicWaterUseECV1,http://purl.org/eiffo/ecv#AnthropogenicWaterUseECV1,Anthropogenic Water Use,
