Label,Subject,Subject URI,Predicate,Predicate URI,Object,Object URI
Ice Sheets and Ice Shelves,ecv:IceSheetsAndShelvesECV1,http://purl.org/eiffo/ecv#IceSheetsAndShelvesECV1,ecv:hasDataSource,http://purl.org/eiffo/ecv#hasDataSource,ecv:DS_006,http://purl.org/eiffo/ecv#DS_006
Surface Water Vapour,ecv:SurfaceWaterVapourECV1,http://purl.org/eiffo/ecv#SurfaceWaterVapourECV1,ecv:hasECVSteward,http://purl.org/eiffo/ecv#hasECVSteward,ecv:ECVSteward_03,http://purl.org/eiffo/ecv#ECVSteward_03
Surface Temperature,ecv:SurfaceTemperatureECV1,http://purl.org/eiffo/ecv#SurfaceTemperatureECV1,ecv:hasDataSource,http://purl.org/eiffo/ecv#hasDataSource,ecv:DS_007,http://purl.org/eiffo/ecv#DS_007
Sea Surface Currents,ecv:SeaSurfaceCurrentsECV1,http://purl.org/eiffo/ecv#SeaSurfaceCurrentsECV1,ecv:hasScientificArea,http://purl.org/eiffo/ecv#hasScientificArea,ecv:ScientificArea_02,http://purl.org/eiffo/ecv#ScientificArea_02
Transient Tracers,ecv:TransientTracersECV1,http://purl.org/eiffo/ecv#TransientTracersECV1,ecv:hasECVProduct,http://purl.org/eiffo/ecv#hasECVProduct,ecv:ECVProduct_133,http://purl.org/eiffo/ecv#ECVProduct_133
Surface Radiation Budget,ecv:SurfaceRadiationBudgetECV1,http://purl.org/eiffo/ecv#SurfaceRadiationBudgetECV1,ecv:hasECVSteward,http://purl.org/eiffo/ecv#hasECVSteward,ecv:ECVSteward_01,http://purl.org/eiffo/ecv#ECVSteward_01
Transient Tracers,ecv:TransientTracersECV1,http://purl.org/eiffo/ecv#TransientTracersECV1,ecv:hasECVProduct,http://purl.org/eiffo/ecv#hasECVProduct,ecv:ECVProduct_134,http://purl.org/eiffo/ecv#ECVProduct_134
Sea Ice,ecv:SeaIceECV1,http://purl.org/eiffo/ecv#SeaIceECV1,ecv:hasECVProduct,http://purl.org/eiffo/ecv#hasECVProduct,ecv:ECVProduct_110,http://purl.org/eiffo/ecv#ECVProduct_110
Glaciers,ecv:GlaciersECV1,http://purl.org/eiffo/ecv#GlaciersECV1,ecv:hasECVSteward,http://purl.org/eiffo/ecv#hasECVSteward,ecv:ECVSteward_018,http://purl.org/eiffo/ecv#ECVSteward_018
Sea Subsurface Salinity,ecv:SeaSubsurfaceSalinityECV1,http://purl.org/eiffo/ecv#SeaSubsurfaceSalinityECV1,ecv:hasDomain,http://purl.org/eiffo/ecv#hasDomain,ecv:PhysicalDomain1,http://purl.org/eiffo/ecv#PhysicalDomain1
