Label,Subject,Subject URI,Predicate,Predicate URI,Object,Object URI
Waste,eotaxonomy:WasteArea,http://purl.org/eiffo/eotaxonomy#WasteArea,eotaxonomy:fromDomain,http://purl.org/eiffo/eotaxonomy#fromDomain,eotaxonomy:BuiltEnvironmentAndHumanFactorsDomain,http://purl.org/eiffo/eotaxonomy#BuiltEnvironmentAndHumanFactorsDomain
Communications & connectivity,eotaxonomy:CommunicationsAndConnectivitySector,http://purl.org/eiffo/eotaxonomy#CommunicationsAndConnectivitySector,eotaxonomy:fromMarket,http://purl.org/eiffo/eotaxonomy#fromMarket,eotaxonomy:InfrastructureAndTransportMarket,http://purl.org/eiffo/eotaxonomy#InfrastructureAndTransportMarket
Defence & Security,eotaxonomy:DefenceAndSecurityMarket,http://purl.org/eiffo/eotaxonomy#DefenceAndSecurityMarket,eotaxonomy:hasSector,http://purl.org/eiffo/eotaxonomy#hasSector,eotaxonomy:SecurityDefenceAndMilitarySector,http://purl.org/eiffo/eotaxonomy#SecurityDefenceAndMilitarySector
Marine & maritime,eotaxonomy:MarineAndMaritimeSector,http://purl.org/eiffo/eotaxonomy#MarineAndMaritimeSector,eotaxonomy:hasUserGroup,http://purl.org/eiffo/eotaxonomy#hasUserGroup,eotaxonomy:USG_MarineAndMaritime,http://purl.org/eiffo/eotaxonomy#USG_MarineAndMaritime
Copernicus Service,eotaxonomy:ThematicView_01,http://purl.org/eiffo/eotaxonomy#ThematicView_01,eotaxonomy:hasDomain,http://purl.org/eiffo/eotaxonomy#hasDomain,eotaxonomy:LandDomain,http://purl.org/eiffo/eotaxonomy#LandDomain
Marine and Ocean,eotaxonomy:MarineAndOceanDomain,http://purl.org/eiffo/eotaxonomy#MarineAndOceanDomain,eotaxonomy:hasArea,http://purl.org/eiffo/eotaxonomy#hasArea,eotaxonomy:BiodiversityAndMarineEcosystemArea,http://purl.org/eiffo/eotaxonomy#BiodiversityAndMarineEcosystemArea
Smart cities,eotaxonomy:SmartCitiesSector,http://purl.org/eiffo/eotaxonomy#SmartCitiesSector,eotaxonomy:hasUserGroup,http://purl.org/eiffo/eotaxonomy#hasUserGroup,eotaxonomy:USG_SmartCities,http://purl.org/eiffo/eotaxonomy#USG_SmartCities
Atmosphere,eotaxonomy:AtmosphereArea,http://purl.org/eiffo/eotaxonomy#AtmosphereArea,eotaxonomy:fromDomain,http://purl.org/eiffo/eotaxonomy#fromDomain,eotaxonomy:AtmosphereAndClimateChangeDomain,http://purl.org/eiffo/eotaxonomy#AtmosphereAndClimateChangeDomain
Geology,eotaxonomy:GeologyArea,http://purl.org/eiffo/eotaxonomy#GeologyArea,eotaxonomy:fromDomain,http://purl.org/eiffo/eotaxonomy#fromDomain,eotaxonomy:LandDomain,http://purl.org/eiffo/eotaxonomy#LandDomain
Health (epidemic & diseases),eotaxonomy:HealthEpidemicsAndDiseasesArea,http://purl.org/eiffo/eotaxonomy#HealthEpidemicsAndDiseasesArea,eotaxonomy:fromDomain,http://purl.org/eiffo/eotaxonomy#fromDomain,eotaxonomy:SecurityAndSafetyDomain,http://purl.org/eiffo/eotaxonomy#SecurityAndSafetyDomain
Renewable energy,eotaxonomy:RenewableEnergySector,http://purl.org/eiffo/eotaxonomy#RenewableEnergySector,eotaxonomy:fromMarket,http://purl.org/eiffo/eotaxonomy#fromMarket,eotaxonomy:EnergyAndMineralResourcesMarket,http://purl.org/eiffo/eotaxonomy#EnergyAndMineralResourcesMarket
